x	y	class	solver	efm
1	-8.583466812666762	Markov	Markov	47
2	-7.838787164045794	Markov	Markov	2
3	-7.17441605357915	Markov	Markov	52
4	-7.005145365510258	Markov	Markov	4
5	-6.968584942502417	Markov	Markov	29
6	-6.9376725957972445	Markov	Markov	48
7	-6.26046571688929	Markov	Markov	42
8	-6.223905293881449	Markov	Markov	22
9	-6.192992947176276	Markov	Markov	43
10	-6.172275663811922	Markov	Markov	21
11	-5.596094606422646	Markov	Markov	54
12	-5.559534183414805	Markov	Markov	50
13	-5.528621836709633	Markov	Markov	36
14	-5.464224144210388	Markov	Markov	45
15	-5.390263495345914	Markov	Markov	31
16	-5.359351148640741	Markov	Markov	33
17	-5.205204176290648	Markov	Markov	26
18	-5.004245097583316	Markov	Markov	34
19	-4.9261565360259505	Markov	Markov	15
20	-4.71954449558942	Markov	Markov	53
21	-4.6455838467249455	Markov	Markov	28
22	-4.639658066113172	Markov	Markov	9
23	-4.614671500019773	Markov	Markov	49
24	-4.557393793647577	Markov	Markov	24
25	-4.526481446942404	Markov	Markov	19
26	-4.46052452766968	Markov	Markov	40
27	-4.316073097151795	Markov	Markov	27
28	-4.244384633760998	Markov	Markov	23
29	-4.055173385122776	Markov	Markov	44
30	-4.008309934230194	Markov	Markov	11
31	-3.981212736258302	Markov	Markov	51
32	-3.9503003895531292	Markov	Markov	37
33	-3.885902697053885	Markov	Markov	38
34	-3.731755724703792	Markov	Markov	10
35	-3.452708084439094	Markov	Markov	14
36	-3.3893632274189716	Markov	Markov	7
37	-3.2503777900526805	Markov	Markov	41
38	-3.2077730588053304	Markov	Markov	17
39	-3.141223048432917	Markov	Markov	32
40	-3.053032995355548	Markov	Markov	16
41	-2.987076076082824	Markov	Markov	25
42	-2.842624645564939	Markov	Markov	13
43	-2.770936182174142	Markov	Markov	35
44	-2.476851937966273	Markov	Markov	46
45	-2.158024642194502	Markov	Markov	18
46	-1.776929338465824	Markov	Markov	20
47	-1.6428114715769113	Markov	Markov	1
48	-1.5924466929050054	Markov	Markov	3
49	-1.5343440365927945	Markov	Markov	55
50	-1.4424931135266654	Markov	Markov	8
51	-1.3507144231112518	Markov	Markov	39
52	-1.2686622139274928	Markov	Markov	6
53	-1.227507247654119	Markov	Markov	12
54	-1.1109022944598081	Markov	Markov	5
55	-1.0287641160072927	Markov	Markov	30
1	-900.0	L2_norm	COSMO	47
2	-900.0	L2_norm	COSMO	2
3	-900.0	L2_norm	COSMO	52
4	-900.0	L2_norm	COSMO	4
5	-900.0	L2_norm	COSMO	29
6	-5.505465385152532	L2_norm	COSMO	48
7	-900.0	L2_norm	COSMO	42
8	-900.0	L2_norm	COSMO	22
9	-5.539540696406882	L2_norm	COSMO	43
10	-900.0	L2_norm	COSMO	21
11	-900.0	L2_norm	COSMO	54
12	-900.0	L2_norm	COSMO	50
13	-5.669968774480316	L2_norm	COSMO	36
14	-5.793767373337769	L2_norm	COSMO	45
15	-900.0	L2_norm	COSMO	31
16	-5.656751980918475	L2_norm	COSMO	33
17	-5.706714132229289	L2_norm	COSMO	26
18	-4.122693968277066	L2_norm	COSMO	34
19	-5.6929018372785105	L2_norm	COSMO	15
20	-5.863057421712654	L2_norm	COSMO	53
21	-900.0	L2_norm	COSMO	28
22	-900.0	L2_norm	COSMO	9
23	-5.705856458158702	L2_norm	COSMO	49
24	-900.0	L2_norm	COSMO	24
25	-5.690424512451787	L2_norm	COSMO	19
26	-5.762203754285677	L2_norm	COSMO	40
27	-5.913990430915845	L2_norm	COSMO	27
28	-5.988217802206322	L2_norm	COSMO	23
29	-3.9046385494577502	L2_norm	COSMO	44
30	-4.008561381104926	L2_norm	COSMO	11
31	-3.6761544239877124	L2_norm	COSMO	51
32	-5.913793479095903	L2_norm	COSMO	37
33	-4.038875001318535	L2_norm	COSMO	38
34	-3.609640459513635	L2_norm	COSMO	10
35	-3.4407915518111585	L2_norm	COSMO	14
36	-3.465364599142781	L2_norm	COSMO	7
37	-3.0478280306218926	L2_norm	COSMO	41
38	-3.2077403993983253	L2_norm	COSMO	17
39	-3.0690308758288367	L2_norm	COSMO	32
40	-3.022969408478391	L2_norm	COSMO	16
41	-2.996931981427185	L2_norm	COSMO	25
42	-2.828631329069952	L2_norm	COSMO	13
43	-2.756836182166188	L2_norm	COSMO	35
44	-2.4786329155894955	L2_norm	COSMO	46
45	-2.158020674683266	L2_norm	COSMO	18
46	-1.7856934000955738	L2_norm	COSMO	20
47	-1.6428125996960825	L2_norm	COSMO	1
48	-1.592443487218959	L2_norm	COSMO	3
49	-1.5343432863536506	L2_norm	COSMO	55
50	-1.4424938176513804	L2_norm	COSMO	8
51	-1.350709350419856	L2_norm	COSMO	39
52	-1.2686603807467516	L2_norm	COSMO	6
53	-1.2275074260479364	L2_norm	COSMO	12
54	-1.1109023381657586	L2_norm	COSMO	5
55	-1.028763391864298	L2_norm	COSMO	30
1	-900.0	L2_norm	OSQP	47
2	-900.0	L2_norm	OSQP	2
3	-900.0	L2_norm	OSQP	52
4	-900.0	L2_norm	OSQP	4
5	-900.0	L2_norm	OSQP	29
6	-900.0	L2_norm	OSQP	48
7	-4.379482033410877	L2_norm	OSQP	42
8	-900.0	L2_norm	OSQP	22
9	-900.0	L2_norm	OSQP	43
10	-900.0	L2_norm	OSQP	21
11	-3.1787580473165504	L2_norm	OSQP	54
12	-900.0	L2_norm	OSQP	50
13	-900.0	L2_norm	OSQP	36
14	-3.465178579424621	L2_norm	OSQP	45
15	-900.0	L2_norm	OSQP	31
16	-900.0	L2_norm	OSQP	33
17	-900.0	L2_norm	OSQP	26
18	-3.524343663684148	L2_norm	OSQP	34
19	-900.0	L2_norm	OSQP	15
20	-3.1470627384296685	L2_norm	OSQP	53
21	-900.0	L2_norm	OSQP	28
22	-900.0	L2_norm	OSQP	9
23	-900.0	L2_norm	OSQP	49
24	-900.0	L2_norm	OSQP	24
25	-900.0	L2_norm	OSQP	19
26	-900.0	L2_norm	OSQP	40
27	-900.0	L2_norm	OSQP	27
28	-900.0	L2_norm	OSQP	23
29	-2.874974768050128	L2_norm	OSQP	44
30	-4.009526178855209	L2_norm	OSQP	11
31	-3.3193008000256086	L2_norm	OSQP	51
32	-900.0	L2_norm	OSQP	37
33	-2.9456583262736538	L2_norm	OSQP	38
34	-3.039769059270057	L2_norm	OSQP	10
35	-3.0692781364871395	L2_norm	OSQP	14
36	-3.9365848752774384	L2_norm	OSQP	7
37	-2.165063875991969	L2_norm	OSQP	41
38	-3.2076105195860904	L2_norm	OSQP	17
39	-2.822921179522071	L2_norm	OSQP	32
40	-2.8461762534550217	L2_norm	OSQP	16
41	-2.89190228801297	L2_norm	OSQP	25
42	-2.722814926969222	L2_norm	OSQP	13
43	-2.669312768340703	L2_norm	OSQP	35
44	-2.6727915825477053	L2_norm	OSQP	46
45	-2.158121811143623	L2_norm	OSQP	18
46	-1.9815854055417363	L2_norm	OSQP	20
47	-1.6429024255436837	L2_norm	OSQP	1
48	-1.5925124005322695	L2_norm	OSQP	3
49	-1.5344234276016013	L2_norm	OSQP	55
50	-1.4425854331482404	L2_norm	OSQP	8
51	-1.3507934480900161	L2_norm	OSQP	39
52	-1.2687443025531655	L2_norm	OSQP	6
53	-1.2275943350597047	L2_norm	OSQP	12
54	-1.1109909296991716	L2_norm	OSQP	5
55	-1.028847903315054	L2_norm	OSQP	30
1	-900.0	qp_max_spa	COSMO	47
2	-900.0	qp_max_spa	COSMO	2
3	-900.0	qp_max_spa	COSMO	52
4	-900.0	qp_max_spa	COSMO	4
5	-900.0	qp_max_spa	COSMO	29
6	-900.0	qp_max_spa	COSMO	48
7	-900.0	qp_max_spa	COSMO	42
8	-900.0	qp_max_spa	COSMO	22
9	-900.0	qp_max_spa	COSMO	43
10	-900.0	qp_max_spa	COSMO	21
11	-4.81237140005718	qp_max_spa	COSMO	54
12	-900.0	qp_max_spa	COSMO	50
13	-900.0	qp_max_spa	COSMO	36
14	-900.0	qp_max_spa	COSMO	45
15	-900.0	qp_max_spa	COSMO	31
16	-900.0	qp_max_spa	COSMO	33
17	-900.0	qp_max_spa	COSMO	26
18	-4.650694281234855	qp_max_spa	COSMO	34
19	-900.0	qp_max_spa	COSMO	15
20	-900.0	qp_max_spa	COSMO	53
21	-900.0	qp_max_spa	COSMO	28
22	-5.510238285050199	qp_max_spa	COSMO	9
23	-900.0	qp_max_spa	COSMO	49
24	-900.0	qp_max_spa	COSMO	24
25	-900.0	qp_max_spa	COSMO	19
26	-900.0	qp_max_spa	COSMO	40
27	-900.0	qp_max_spa	COSMO	27
28	-900.0	qp_max_spa	COSMO	23
29	-3.858700219166629	qp_max_spa	COSMO	44
30	-4.008379079809348	qp_max_spa	COSMO	11
31	-3.7779969629517356	qp_max_spa	COSMO	51
32	-900.0	qp_max_spa	COSMO	37
33	-3.9802698187801124	qp_max_spa	COSMO	38
34	-3.619562947132326	qp_max_spa	COSMO	10
35	-3.4377954662475894	qp_max_spa	COSMO	14
36	-3.402812336888355	qp_max_spa	COSMO	7
37	-3.0329315325283313	qp_max_spa	COSMO	41
38	-3.2077611629721337	qp_max_spa	COSMO	17
39	-3.070391384505038	qp_max_spa	COSMO	32
40	-3.0244425679611733	qp_max_spa	COSMO	16
41	-2.9924114229899597	qp_max_spa	COSMO	25
42	-2.8280327685667985	qp_max_spa	COSMO	13
43	-2.756360036753925	qp_max_spa	COSMO	35
44	-2.4771307325462466	qp_max_spa	COSMO	46
45	-2.1580199494906864	qp_max_spa	COSMO	18
46	-1.7865229316962834	qp_max_spa	COSMO	20
47	-1.6428125699208025	qp_max_spa	COSMO	1
48	-1.5924471030214722	qp_max_spa	COSMO	3
49	-1.5343449254684045	qp_max_spa	COSMO	55
50	-1.4424939139858577	qp_max_spa	COSMO	8
51	-1.350710457565856	qp_max_spa	COSMO	39
52	-1.2686626451333776	qp_max_spa	COSMO	6
53	-1.2275079021580482	qp_max_spa	COSMO	12
54	-1.1109029095152574	qp_max_spa	COSMO	5
55	-1.0287644607327997	qp_max_spa	COSMO	30
1	-900.0	qp_max_spa	OSQP	47
2	-900.0	qp_max_spa	OSQP	2
3	-900.0	qp_max_spa	OSQP	52
4	-900.0	qp_max_spa	OSQP	4
5	-900.0	qp_max_spa	OSQP	29
6	-900.0	qp_max_spa	OSQP	48
7	-4.577128252967251	qp_max_spa	OSQP	42
8	-900.0	qp_max_spa	OSQP	22
9	-900.0	qp_max_spa	OSQP	43
10	-900.0	qp_max_spa	OSQP	21
11	-3.3004555879322477	qp_max_spa	OSQP	54
12	-900.0	qp_max_spa	OSQP	50
13	-900.0	qp_max_spa	OSQP	36
14	-900.0	qp_max_spa	OSQP	45
15	-900.0	qp_max_spa	OSQP	31
16	-900.0	qp_max_spa	OSQP	33
17	-900.0	qp_max_spa	OSQP	26
18	-3.3614205880308723	qp_max_spa	OSQP	34
19	-900.0	qp_max_spa	OSQP	15
20	-900.0	qp_max_spa	OSQP	53
21	-900.0	qp_max_spa	OSQP	28
22	-900.0	qp_max_spa	OSQP	9
23	-900.0	qp_max_spa	OSQP	49
24	-900.0	qp_max_spa	OSQP	24
25	-900.0	qp_max_spa	OSQP	19
26	-900.0	qp_max_spa	OSQP	40
27	-900.0	qp_max_spa	OSQP	27
28	-900.0	qp_max_spa	OSQP	23
29	-3.020664765894061	qp_max_spa	OSQP	44
30	-4.008399505061251	qp_max_spa	OSQP	11
31	-3.7364184460459406	qp_max_spa	OSQP	51
32	-900.0	qp_max_spa	OSQP	37
33	-3.2377674278959456	qp_max_spa	OSQP	38
34	-3.4034913704446907	qp_max_spa	OSQP	10
35	-3.369501015217126	qp_max_spa	OSQP	14
36	-900.0	qp_max_spa	OSQP	7
37	-2.51180044001172	qp_max_spa	OSQP	41
38	-3.2077574867723357	qp_max_spa	OSQP	17
39	-2.8948830142481325	qp_max_spa	OSQP	32
40	-2.9589548390849596	qp_max_spa	OSQP	16
41	-2.979920589002075	qp_max_spa	OSQP	25
42	-2.7617258425970004	qp_max_spa	OSQP	13
43	-2.699624240624521	qp_max_spa	OSQP	35
44	-2.6452782552577982	qp_max_spa	OSQP	46
45	-2.158020151722744	qp_max_spa	OSQP	18
46	-1.8477754878018242	qp_max_spa	OSQP	20
47	-1.6428126099077731	qp_max_spa	OSQP	1
48	-1.5924470017567713	qp_max_spa	OSQP	3
49	-1.5343448864465083	qp_max_spa	OSQP	55
50	-1.4424939047549545	qp_max_spa	OSQP	8
51	-1.350710428815533	qp_max_spa	OSQP	39
52	-1.2686624222636433	qp_max_spa	OSQP	6
53	-1.2275078547464955	qp_max_spa	OSQP	12
54	-1.1109034097720234	qp_max_spa	OSQP	5
55	-1.0287646099478964	qp_max_spa	OSQP	30
1	-6.095358789772455	lp_max_spa	GLPK	47
2	-900.0	lp_max_spa	GLPK	2
3	-900.0	lp_max_spa	GLPK	52
4	-5.0385973017293155	lp_max_spa	GLPK	4
5	-4.702204622567807	lp_max_spa	GLPK	29
6	-4.26168094171167	lp_max_spa	GLPK	48
7	-5.286076945310529	lp_max_spa	GLPK	42
8	-4.814023338380926	lp_max_spa	GLPK	22
9	-4.299757712066371	lp_max_spa	GLPK	43
10	-4.504027315112266	lp_max_spa	GLPK	21
11	-900.0	lp_max_spa	GLPK	54
12	-5.971299566389387	lp_max_spa	GLPK	50
13	-4.458446992105217	lp_max_spa	GLPK	36
14	-900.0	lp_max_spa	GLPK	45
15	-4.5435604124919	lp_max_spa	GLPK	31
16	-4.203193048211472	lp_max_spa	GLPK	33
17	-4.024543558374463	lp_max_spa	GLPK	26
18	-900.0	lp_max_spa	GLPK	34
19	-4.093754742485217	lp_max_spa	GLPK	15
20	-900.0	lp_max_spa	GLPK	53
21	-4.618008263654408	lp_max_spa	GLPK	28
22	-4.3854714095864935	lp_max_spa	GLPK	9
23	-4.2362843231620735	lp_max_spa	GLPK	49
24	-4.29974307758533	lp_max_spa	GLPK	24
25	-4.0729999269348625	lp_max_spa	GLPK	19
26	-4.046190775704863	lp_max_spa	GLPK	40
27	-4.172775443056249	lp_max_spa	GLPK	27
28	-4.152241657221713	lp_max_spa	GLPK	23
29	-900.0	lp_max_spa	GLPK	44
30	-4.0095322940339715	lp_max_spa	GLPK	11
31	-4.973171655833691	lp_max_spa	GLPK	51
32	-4.369677520321094	lp_max_spa	GLPK	37
33	-4.2646657110637385	lp_max_spa	GLPK	38
34	-4.8190265463670015	lp_max_spa	GLPK	10
35	-3.5472153266793143	lp_max_spa	GLPK	14
36	-3.359792509277966	lp_max_spa	GLPK	7
37	-4.075185535744121	lp_max_spa	GLPK	41
38	-3.2077661771676294	lp_max_spa	GLPK	17
39	-3.245833563812432	lp_max_spa	GLPK	32
40	-3.1095925761976706	lp_max_spa	GLPK	16
41	-2.9762147619621997	lp_max_spa	GLPK	25
42	-2.8488654675668723	lp_max_spa	GLPK	13
43	-2.774236826022412	lp_max_spa	GLPK	35
44	-2.442890878329921	lp_max_spa	GLPK	46
45	-2.158138787075406	lp_max_spa	GLPK	18
46	-1.764815097780059	lp_max_spa	GLPK	20
47	-1.6429202264384746	lp_max_spa	GLPK	1
48	-1.5925312093245754	lp_max_spa	GLPK	3
49	-1.534443265409828	lp_max_spa	GLPK	55
50	-1.4426017142546665	lp_max_spa	GLPK	8
51	-1.3508116146167433	lp_max_spa	GLPK	39
52	-1.2687621450751414	lp_max_spa	GLPK	6
53	-1.2276112600198692	lp_max_spa	GLPK	12
54	-1.111007144110663	lp_max_spa	GLPK	5
55	-1.028864819251054	lp_max_spa	GLPK	30
1	-900.0	lp_max_spa	Gurobi	47
2	-900.0	lp_max_spa	Gurobi	2
3	-900.0	lp_max_spa	Gurobi	52
4	-900.0	lp_max_spa	Gurobi	4
5	-3.9284612406676658	lp_max_spa	Gurobi	29
6	-900.0	lp_max_spa	Gurobi	48
7	-900.0	lp_max_spa	Gurobi	42
8	-900.0	lp_max_spa	Gurobi	22
9	-900.0	lp_max_spa	Gurobi	43
10	-900.0	lp_max_spa	Gurobi	21
11	-900.0	lp_max_spa	Gurobi	54
12	-900.0	lp_max_spa	Gurobi	50
13	-900.0	lp_max_spa	Gurobi	36
14	-900.0	lp_max_spa	Gurobi	45
15	-900.0	lp_max_spa	Gurobi	31
16	-900.0	lp_max_spa	Gurobi	33
17	-3.66550707944903	lp_max_spa	Gurobi	26
18	-900.0	lp_max_spa	Gurobi	34
19	-900.0	lp_max_spa	Gurobi	15
20	-900.0	lp_max_spa	Gurobi	53
21	-900.0	lp_max_spa	Gurobi	28
22	-4.434526285860291	lp_max_spa	Gurobi	9
23	-900.0	lp_max_spa	Gurobi	49
24	-4.315942100798624	lp_max_spa	Gurobi	24
25	-900.0	lp_max_spa	Gurobi	19
26	-900.0	lp_max_spa	Gurobi	40
27	-900.0	lp_max_spa	Gurobi	27
28	-900.0	lp_max_spa	Gurobi	23
29	-900.0	lp_max_spa	Gurobi	44
30	-4.008310674848841	lp_max_spa	Gurobi	11
31	-900.0	lp_max_spa	Gurobi	51
32	-900.0	lp_max_spa	Gurobi	37
33	-900.0	lp_max_spa	Gurobi	38
34	-900.0	lp_max_spa	Gurobi	10
35	-3.4383530334877097	lp_max_spa	Gurobi	14
36	-3.37894813229749	lp_max_spa	Gurobi	7
37	-3.177684959247461	lp_max_spa	Gurobi	41
38	-3.207763143306621	lp_max_spa	Gurobi	17
39	-3.089039666825765	lp_max_spa	Gurobi	32
40	-3.048232139752531	lp_max_spa	Gurobi	16
41	-2.9827985665418804	lp_max_spa	Gurobi	25
42	-2.8282656903322216	lp_max_spa	Gurobi	13
43	-2.756577282260625	lp_max_spa	Gurobi	35
44	-2.4379060725375785	lp_max_spa	Gurobi	46
45	-2.1580198988597434	lp_max_spa	Gurobi	18
46	-1.7795984241888558	lp_max_spa	Gurobi	20
47	-1.6428126895565207	lp_max_spa	Gurobi	1
48	-1.5924470357668206	lp_max_spa	Gurobi	3
49	-1.5343448228053682	lp_max_spa	Gurobi	55
50	-1.4424939045309342	lp_max_spa	Gurobi	8
51	-1.3507103856122133	lp_max_spa	Gurobi	39
52	-1.2686627173870035	lp_max_spa	Gurobi	6
53	-1.2275078860219748	lp_max_spa	Gurobi	12
54	-1.110902932827664	lp_max_spa	Gurobi	5
55	-1.0287644545287478	lp_max_spa	Gurobi	30
1	-900.0	lp_max_spa	SCIP	47
2	-900.0	lp_max_spa	SCIP	2
3	-900.0	lp_max_spa	SCIP	52
4	-900.0	lp_max_spa	SCIP	4
5	-900.0	lp_max_spa	SCIP	29
6	-900.0	lp_max_spa	SCIP	48
7	-900.0	lp_max_spa	SCIP	42
8	-900.0	lp_max_spa	SCIP	22
9	-900.0	lp_max_spa	SCIP	43
10	-900.0	lp_max_spa	SCIP	21
11	-900.0	lp_max_spa	SCIP	54
12	-900.0	lp_max_spa	SCIP	50
13	-900.0	lp_max_spa	SCIP	36
14	-900.0	lp_max_spa	SCIP	45
15	-900.0	lp_max_spa	SCIP	31
16	-900.0	lp_max_spa	SCIP	33
17	-900.0	lp_max_spa	SCIP	26
18	-900.0	lp_max_spa	SCIP	34
19	-900.0	lp_max_spa	SCIP	15
20	-3.9286986176636867	lp_max_spa	SCIP	53
21	-900.0	lp_max_spa	SCIP	28
22	-4.434525409252219	lp_max_spa	SCIP	9
23	-3.089039629807743	lp_max_spa	SCIP	49
